testing logger
TEBDEngine: subconfig 'trunc_params'=Config(<2 options>, 'trunc_params')
TEBDEngine: reading 'dt'=0.1
TEBDEngine: reading 'N_steps'=1
TEBDEngine: reading 'order'=4
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
trunc_params: reading 'chi_max'=100
trunc_params: reading 'svd_min'=1e-12
--> time=11.400, max(chi)=32, max(S)=1.60469, avg DeltaS=7.9121e-05, since last update: 0.0s
--> time=11.500, max(chi)=32, max(S)=1.60384, avg DeltaS=-4.1968e-04, since last update: 0.0s
--> time=11.600, max(chi)=32, max(S)=1.60384, avg DeltaS=-8.2802e-04, since last update: 0.0s
--> time=11.700, max(chi)=32, max(S)=1.60495, avg DeltaS=-1.1232e-03, since last update: 0.0s
--> time=11.800, max(chi)=32, max(S)=1.60742, avg DeltaS=-1.2857e-03, since last update: 0.0s
--> time=11.900, max(chi)=32, max(S)=1.61146, avg DeltaS=-1.3010e-03, since last update: 0.0s
--> time=12.000, max(chi)=32, max(S)=1.61718, avg DeltaS=-1.1602e-03, since last update: 0.0s
--> time=12.100, max(chi)=32, max(S)=1.62464, avg DeltaS=-8.6109e-04, since last update: 0.0s
--> time=12.200, max(chi)=32, max(S)=1.63380, avg DeltaS=-4.0875e-04, since last update: 0.0s
--> time=12.300, max(chi)=32, max(S)=1.64455, avg DeltaS=1.8466e-04, since last update: 0.0s
--> time=12.400, max(chi)=32, max(S)=1.65669, avg DeltaS=9.0003e-04, since last update: 0.0s
--> time=12.500, max(chi)=32, max(S)=1.66998, avg DeltaS=1.7115e-03, since last update: 0.0s
--> time=12.600, max(chi)=32, max(S)=1.68412, avg DeltaS=2.5866e-03, since last update: 0.0s
--> time=12.700, max(chi)=32, max(S)=1.69878, avg DeltaS=3.4873e-03, since last update: 0.0s
--> time=12.800, max(chi)=32, max(S)=1.71363, avg DeltaS=4.3711e-03, since last update: 0.0s
--> time=12.900, max(chi)=32, max(S)=1.72831, avg DeltaS=5.1934e-03, since last update: 0.0s
--> time=13.000, max(chi)=32, max(S)=1.74248, avg DeltaS=5.9105e-03, since last update: 0.0s
--> time=13.100, max(chi)=32, max(S)=1.75582, avg DeltaS=6.4827e-03, since last update: 0.0s
--> time=13.200, max(chi)=32, max(S)=1.76802, avg DeltaS=6.8767e-03, since last update: 0.0s
--> time=13.300, max(chi)=32, max(S)=1.77881, avg DeltaS=7.0683e-03, since last update: 0.0s
